,m 21,m 28,m 35,m 42,m 49,m 56,m 63,m 70 ,m 77,m 84,m 91
6,670,,,,,,,,,,
6.5,621,619,,,,,,,,,
7,579,577,574,,,,,,,,
8,510,507,505,503,500,,,,,,
9,455,452,450,448,445,442,,,,,
10,410,408,405,403,400,398,396,383,,,
11,373,371,368,366,363,361,359,344,326,295,
12,342,340,337,335,332,330,328,311,296,281,242
14,289,287,285,283,280,278,274,260,249,237,227
16,248,247,244,242,240,238,233,222,213,204,195
18,217,216,213,211,209,207,201,192,185,177,170
20,186,191,189,187,184,182,176,169,162,156,150
22,,171,169,167,164,162,156,149,144,138,133
24,,155,152,150,147,145,139,133,128,123,118
26,,141,138,136,134,131,125,120,115,111,106
28,,,126,124,122,118,113,108,104,100,96
30,,,114,112,110,108,103,98,94,90,86
32,,,103,102,100,98,94,89,86,82,78
34,,,,93,90,89,86,81,78,74,71
36,,,,85,83,81,79,75,71,68,65
38,,,,78,76,74,72,69,65,62,59
40,,,,73,70,68,66,63,60,57,54
44,,,,,60,58,56,54,51,475,445
48,,,,,,50,48,46,43,40,37
52,,,,,,43.5,41.5,39.5,36.5,33.5,31
56,,,,,,,35.5,33.5,31,28.3,25.4
60,,,,,,,,28.4,26.4,23.6,20.7
64,,,,,,,,24.3,22,19.6,16.7
68,,,,,,,,,18.3,16.2,13.2
72,,,,,,,,,13.5,13,10.1
76,,,,,,,,,,10.1,7.4
80,,,,,,,,,,,5.1
