,m 11,m 14.6,m 18.2,m 21.8,m 25.4,m 28.9,m 32.5,m 36.1 ,m 39.7,m 43.3,m 46.9,m 50
2.5,70,,,,,,,,,,,
3,61.4,50.9,48.8,,,,,,,,,
3.5,54.3,46.3,46.5,38.9,31.9,,,,,,,
4,48.7,42.4,42.5,38.1,31.4,25.6,,,,,,
4.5,44,38.9,39.1,37.4,31,25.3,20.6,,,,,
5,39.3,35.8,35.9,35.6,30.4,25.1,20.5,16.3,,,,
6,32.2,30.9,31,31,28.9,24.5,20.1,16.1,,,,
7,27.1,26.7,26.9,26.9,27.2,24,19.6,16,13,10.2,,
8,23,23.1,23.3,23.6,23.6,22.7,18.3,15.8,12.8,10.1,8,
9,,20.4,20.4,20.8,20.7,19.6,17,15.1,12.6,9.9,7.9,6.7
10,,17.8,18.1,18.2,18.1,17,15.7,14.2,12.2,9.7,7.8,6.6
12,,13.4,13.9,13.9,13.8,13.4,13.1,12.4,11.1,9.1,7.5,6.5
14,,,10.8,11,11,10.9,10.7,10.4,9.7,8.4,7.1,6.2
16,,,8.7,8.9,8.9,8.9,8.8,8.6,8,7.7,6.6,5.9
18,,,,7.4,7.5,7.4,7.4,7.2,7.2,6.6,6.1,5.5
20,,,,,6.4,6.2,6.3,6.2,6,5.7,5.5,5.1
22,,,,,5.4,5.4,5.4,5.3,5,5.1,4.8,4.6
24,,,,,,4.8,4.7,4.6,4.5,4.3,4,3.9
26,,,,,,4.2,4.1,4,3.9,3.7,3.4,3.4
28,,,,,,,3.6,3.5,3.4,3.2,2.9,2.9
30,,,,,,,3.1,3,2.9,2.7,2.5,2.5
32,,,,,,,,2.6,2.5,2.3,2.1,2.1
34,,,,,,,,,2.1,2,1.7,1.7
36,,,,,,,,,1.8,1.7,1.4,1.4
38,,,,,,,,,,1.4,1.1,1.2
40,,,,,,,,,,1.2,0.9,0.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
