,m 11.4,m 15.1,m 18.9,m 22.6,m 26.3,m 30,m 33.8,m 37.5,m 41.2,m 44.9,m 48.7,m 52.4,m 55.6,m 56.1,m 59.4,m 60
3,90,59.2,59.2,48,,,,,,,,,,,,
3.5,59.2,58.2,56.3,48,,,,,,,,,,,,
4,55.6,53.2,51,47.5,36.6,,,,,,,,,,,
4.5,50.9,49,46.8,45.3,36.6,30.4,,,,,,,,,,
5,47.6,45.4,43.1,41.7,36.3,30,24.5,,,,,,,,,
6,42,40.2,38.3,36.7,35.1,28.8,23.8,19.3,,,,,,,,
7,36.6,35.8,34.4,33.6,32.3,27.6,22.9,19.1,15.2,,,,,,,
8,31.6,31.4,31.1,30.5,29.2,26.4,22.1,18.9,15.1,11.7,,,,,,
9,27.1,27.6,27.9,27.7,26.7,25,21.3,18.6,15,11.5,9.2,,,,,
10,,24.4,24.7,24.7,24.4,23.5,20.5,18.1,14.4,11.2,9,7.3,4.9,5.3,,
11,,21.6,22,22,21.9,22.1,19.7,17.1,13.8,10.8,8.8,7.1,4.9,5.3,4.2,4.1
12,,19.5,19.6,19.7,19.6,19.9,18.9,16.1,13.3,10.4,8.5,7,4.8,5.2,4.2,4.1
14,,,16.1,16.3,16.4,16.2,16,14.3,12.2,9.4,8,6.7,4.7,5,4.2,4.1
16,,,13.6,13.8,13.7,13.5,13.3,12.7,11.3,8.5,7.3,5.9,4.5,4.8,4.1,4
18,,,,11.6,11.6,11.4,11.1,10.7,10.4,7.6,6.7,5.4,4.2,4.6,4,3.9
20,,,,9.9,9.8,9.6,9.3,9.6,9.3,6.9,6.1,5,4,4.3,3.8,3.7
22,,,,,8.4,8.2,8.5,8.3,7.9,6.3,5.5,4.6,3.7,4.1,3.6,3.6
24,,,,,7.3,7.3,7.4,7.1,6.8,5.9,5,4.3,3.5,3.8,3.4,3.4
26,,,,,,6.7,6.5,6.1,5.8,5.5,4.6,4,3.3,3.6,3.2,3.2
28,,,,,,,5.6,5.3,5.1,5.1,4.2,3.8,3.1,3.4,3,3
30,,,,,,,4.9,4.6,4.8,4.5,3.9,3.5,2.9,3.2,2.9,2.9
32,,,,,,,,4.3,4.2,4,3.8,3.3,2.7,3.1,2.7,2.7
34,,,,,,,,4,3.8,3.5,3.5,3.1,2.6,2.9,2.6,2.6
36,,,,,,,,,3.4,3.3,3.2,2.9,2.4,2.7,2.5,2.4
38,,,,,,,,,3.1,3.1,2.9,2.8,2.3,2.6,2.3,2.3
40,,,,,,,,,,2.8,2.7,2.6,2.1,2.4,2.2,2.2
42,,,,,,,,,,2.5,2.5,2.3,2,2.2,2.1,2
44,,,,,,,,,,,2.2,2.2,1.9,2,2,1.9
46,,,,,,,,,,,2,1.9,1.8,1.8,1.8,1.8
48,,,,,,,,,,,,1.7,1.7,1.5,1.6,1.6
50,,,,,,,,,,,,1.6,1.6,1.4,1.4,1.4
52,,,,,,,,,,,,,1.4,1.2,1.2,1.2
54,,,,,,,,,,,,,,,1,1
56,,,,,,,,,,,,,,,0.8,0.8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
