,m 12.5,m 16.6,m 20.8,m 25,m 29.2,m 33.4,m 37.6,m 41.8,m 46,m 50.2,m 54.4,m 58,,,,
3,95,63.3,,,,,,,,,,,,,,
3.5,74,63.3,60.2,,,,,,,,,,,,,
4,69.5,62.8,59.3,48.5,,,,,,,,,,,,
4.5,66.3,58.9,55.9,47.9,38,,,,,,,,,,,
5,60.7,54.6,53.3,47.2,37.6,29.9,,,,,,,,,,
6,49.7,46.7,46.8,45.1,36.6,29.4,23,,,,,,,,,
7,41.4,40.2,40.3,40.1,35.2,28.5,22.5,18.1,,,,,,,,
8,35.1,34.5,34.6,34.4,33.8,27.4,21.2,17.6,13.9,,,,,,,
9,30.2,30.3,30,30.6,30.4,25.9,20,16.8,13.6,10.5,,,,,,
10,26.5,26.7,26.4,26.9,26.7,24.4,18.8,15.9,13.1,10.3,8.3,,,,,
11,,23.6,23.9,23.9,23.6,23.2,17.6,15,12.6,10,8.2,6.4,,,,
12,,21.1,21.4,21.4,21.1,21.5,16.5,14.1,12.1,9.7,8,6.3,,,,
14,,17.2,17.5,17.4,17.9,17.7,14.6,12.6,11,9.1,7.6,6,,,,
16,,,14.7,14.9,14.9,14.5,12.9,11.3,9.9,8.4,7.2,5.7,,,,
18,,,12.4,12.5,12.4,12.1,11.4,10.2,9,7.7,6.7,5.4,,,,
20,,,,10.6,10.5,10.1,10.1,9.2,8.1,7.2,6.2,5.1,,,,
22,,,,9.1,9,8.8,9.1,8.3,7.4,6.6,5.8,4.8,,,,
24,,,,,7.8,8.1,7.9,7.1,6.8,6.1,5.4,4.5,,,,
26,,,,,6.8,7.2,6.9,6.5,6.2,5.6,5,4.3,,,,
28,,,,,,6.3,6,5.9,5.4,5.2,4.7,4,,,,
30,,,,,,5.6,5.3,5.5,4.8,4.8,4.4,3.8,,,,
32,,,,,,,4.7,4.9,4.4,4.3,4.1,3.5,,,,
34,,,,,,,4.4,4.3,4.1,3.8,3.8,3.3,,,,
36,,,,,,,,3.8,3.8,3.5,3.4,3.1,,,,
38,,,,,,,,3.4,3.4,3.3,3,2.9,,,,
40,,,,,,,,,3,2.9,2.6,2.7,,,,
42,,,,,,,,,2.8,2.6,2.3,2.3,,,,
44,,,,,,,,,,2.3,2,2,,,,
46,,,,,,,,,,2,1.7,1.7,,,,
48,,,,,,,,,,,1.4,1.5,,,,
50,,,,,,,,,,,1.2,1.2,,,,
52,,,,,,,,,,,,1,,,,
54,,,,,,,,,,,,0.8,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
