,m 11.5,m 15.2 ,m 19,m 22.7,m 26.4,m 30.1,m 33.9,m 37.6,m 41.3,m 45,m 48.8,m 52,,,,,
2.7,100,,,,,,,,,,,,,,,,
3,94.4,,,,,,,,,,,,,,,,
3.5,86.1,65,61.5,,,,,,,,,,,,,,
4,77.9,65.8,62,60.6,,,,,,,,,,,,,
4.5,71.1,65.3,62.6,58.7,51.3,,,,,,,,,,,,
5,65.3,61.6,61,55.5,49.3,41.8,,,,,,,,,,,
6,55,53.3,53.1,52.5,46,39.3,32.8,27.8,,,,,,,,,
7,47.1,46.3,46.2,46,43.7,37.1,31.1,26.6,22.4,,,,,,,,
8,40.9,40.2,39.9,39.7,40,35.2,29.3,25.3,21.4,18.8,,,,,,,
9,35.8,35.1,34.9,35,35.1,33.5,27.6,24,20.4,18.1,14.5,,,,,,
10,,31.2,30.8,32,31.5,31.2,25.8,22.6,19.5,17.3,14,11.5,,,,,
12,,24.8,25.4,25.6,25.4,25.1,22.5,19.8,17.6,16,13.3,10.8,,,,,
14,,,20.9,21,20.8,20.5,19.9,17.5,15.7,14.6,12.6,10.2,,,,,
16,,,17.5,17.5,17.4,17,17,15.6,14.1,13.2,11.9,9.6,,,,,
18,,,,14.9,14.7,14.4,14.7,13.9,12.7,12,11,9.2,,,,,
20,,,,12.8,12.5,12.9,12.6,12.2,11.5,10.9,10.1,8.6,,,,,
22,,,,,10.9,11.3,10.9,10.5,10.3,9.9,9.2,8.2,,,,,
24,,,,,9.6,9.9,9.5,9.5,9.3,9,8.5,7.7,,,,,
26,,,,,,8.7,8.5,8.5,8.2,8.2,7.8,7.1,,,,,
28,,,,,,7.6,7.8,7.5,7.5,7.5,7.2,6.5,,,,,
30,,,,,,,7,6.7,6.7,6.6,6.3,6,,,,,
32,,,,,,,,6.2,6,5.9,5.6,5.5,,,,,
34,,,,,,,,5.6,5.4,5.3,5,5,,,,,
36,,,,,,,,,4.9,4.8,4.5,4.5,,,,,
38,,,,,,,,,4.5,4.4,4.1,4.1,,,,,
40,,,,,,,,,,4,3.7,3.7,,,,,
42,,,,,,,,,,3.6,3.3,3.3,,,,,
44,,,,,,,,,,,2.9,2.9,,,,,
46,,,,,,,,,,,2.6,2.6,,,,,
48,,,,,,,,,,,,2.3,,,,,
50,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
