,m 11.5,m 15.2,m 18.9,m 22.6,m 26.4,m 30.1,m 33.8,m 37.5,m 38.8,m 41.2,m 42.5,m 45,m 46.9,m 48.7,m 51.3,m 52.4,m 54.3,m 55.6,m 56.1,m 58.1,m 58.7,m 59.4,m 60
3,110,68,67.3,66.4,58.3,,,,,,,,,,,,,,,,,,
3.5,97,68.5,67.8,66.9,60,,,,,,,,,,,,,,,,,,
4,82.2,68.9,68.4,66.6,60.3,50.6,,,,,,,,,,,,,,,,,
4.5,78.3,69,68.3,66.9,59.9,50.7,40.8,,,,,,,,,,,,,,,,
5,73.9,65.6,65.1,65.2,59.7,50.4,41,,,,,,,,,,,,,,,,
6,66.4,54.8,54.7,54.8,53.9,48.6,40.3,31.7,27.9,25.7,,,,,,,,,,,,,
7,57,47.2,47.6,47.7,47,45.4,39.1,30.3,26.9,25,23.1,20.4,,,,,,,,,,,
8,48.8,40.8,41.1,41.2,41.4,40.5,37.8,29,25.8,24.3,22.3,20,18.1,16.7,,,,,,,,,
9,41.2,35.9,36,36.6,36.5,35.9,34.7,27.5,24.7,23.5,21.5,19.5,17.9,16.6,11.5,13.2,10.8,10.1,10.7,,,,
10,,31.6,31.8,32.4,32.3,32,30.9,26.1,23.2,22.6,20.6,18.9,17.5,16.4,11.3,13.1,10.7,10,10.6,9.6,9.1,8.9,8.6
12,,24.9,25.5,25.7,25.6,25.4,24.9,23.2,20.6,20.7,19,17.5,16.5,15.7,10.8,12.8,10.3,9.8,10.4,9.4,8.9,8.7,8.5
14,,,20.8,20.9,20.9,20.6,20.3,19.7,18.4,18.8,17.3,16.1,15,14.6,10.1,12.3,9.9,9.4,10.1,9.1,8.7,8.5,8.3
16,,,17.2,17.4,17.3,17,17.2,17.1,16.3,16.4,15.7,14.7,13.7,13.4,9.3,11.7,9.3,9,9.7,8.8,8.5,8.2,8.1
18,,,,14.8,14.6,14.7,14.8,14.4,14.2,13.9,13.6,13.3,12.4,12.3,8.7,10.9,8.8,8.4,9.1,8.4,8.1,8,7.8
20,,,,12.7,12.4,12.8,12.6,12.1,11.9,12.2,11.4,11.8,11.1,11.2,8,10.1,8.3,7.9,8.6,8,7.7,7.6,7.4
22,,,,,11.2,11.1,10.8,10.7,10.1,10.5,9.6,10.2,9.6,9.8,7.4,9.2,7.8,7.4,8.1,7.6,7.3,7.1,7
24,,,,,9.9,9.7,9.4,9.4,8.6,9.1,8.2,8.9,8.1,8.7,6.9,8.3,7.2,6.9,7.6,7.2,6.9,6.7,6.5
26,,,,,,8.5,8.2,8.2,7.4,7.9,7,7.9,6.9,7.5,6.4,7.2,6.8,65,7,6.7,6.5,6.3,6
28,,,,,,7.2,7.6,7.1,6.4,7.2,5.9,6.8,6,6.6,6,6.5,6.3,61,6.2,6.2,6.1,5.8,5.5
30,,,,,,,6.7,6.3,5.9,6.4,5.2,6,5.6,6,5.6,5.7,5.7,56,5.3,5.3,5.3,5.3,5.1
32,,,,,,,,5.9,5.5,5.6,4.8,5.4,5.3,5.2,5.1,4.9,5,49,4.6,4.6,4.6,4.6,4.5
34,,,,,,,,5.3,5.2,5,4.5,4.8,4.9,4.6,4.6,4.3,4.4,43,4,4.1,4.1,4,4
36,,,,,,,,,4.8,4.4,4.3,4.3,4.4,4.1,4.1,3.9,3.9,39,3.6,3.6,3.6,3.6,3.5
38,,,,,,,,,,4.1,4,3.9,4,3.7,3.7,3.5,3.5,35,3.2,3.2,3.2,3.2,3.1
40,,,,,,,,,,,3.8,3.6,3.6,3.3,3.4,3.1,3.1,31,2.8,2.9,2.9,2.8,2.8
42,,,,,,,,,,,,3.3,3.3,3,3,2.8,2.8,28,2.5,2.5,2.5,2.5,2.5
44,,,,,,,,,,,,,3,2.7,2.7,2.5,2.5,25,2.2,2.3,2.2,2.2,2.2
46,,,,,,,,,,,,,,2.5,2.5,2.3,2.3,23,2,2,2,2,1.9
48,,,,,,,,,,,,,,,2.3,2,2.1,2,1.7,1.8,1.8,1.7,1.7
50,,,,,,,,,,,,,,,,1.8,1.9,18,1.5,1.5,1.5,1.5,1.5
52,,,,,,,,,,,,,,,,,1.6,16,1.2,1.3,1.3,1.3,1.2
54,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.1,1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
