,m 12.7,m 17,m 21.4,m 25.7,m 30.1,m 34.4,m 38.8,m 43.1,m 47.5,m 50.5,m 51.9,m 54.9,m 56.2,m 60,,,,,,,,,
3,130,82.6,,,,,,,,,,,,,,,,,,,,,
3.5,92.4,82.6,82.4,67.3,,,,,,,,,,,,,,,,,,,
4,86,82.3,79.5,66.3,56.1,,,,,,,,,,,,,,,,,,
4.5,80.4,76.7,73.9,65.3,55.4,,,,,,,,,,,,,,,,,,
5,75.5,71.9,69.1,64.3,54.7,43.7,,,,,,,,,,,,,,,,,
6,67.2,63.9,61.3,60.1,52.2,42.5,32.9,,,,,,,,,,,,,,,,
7,60.1,57.6,55.9,53.9,49.3,41,32,25.2,,,,,,,,,,,,,,,
8,53.5,50.9,50.7,48.9,47,39.4,31.1,24.7,19.8,,,,,,,,,,,,,,
9,46.8,45.3,45.5,44.7,43.9,37.9,30.2,24.1,19.5,14.5,16,,,,,,,,,,,,
10,37.7,40.4,40.6,40.4,40.5,36.5,28.9,23.5,19.1,14.5,16,12.8,,,,,,,,,,,
11,,36.3,36.4,36.3,36.8,35.1,27.3,22.9,18.7,14.2,15.9,12.8,13,,,,,,,,,,
12,,32.8,33,32.8,33.4,33,25.7,21.9,18.3,13.7,15.7,12.7,13,10.5,,,,,,,,,
14,,27,27.5,27.9,27.7,27.2,23,19.8,17.1,12.7,14.9,12.2,12.6,10.5,,,,,,,,,
16,,,23.6,23.6,23.3,22.9,20.6,17.9,15.7,11.7,13.9,11.5,12,10.3,,,,,,,,,
18,,,20.2,20.2,19.9,19.5,18.5,16.2,14.3,10.8,12.9,10.7,11.2,9.9,,,,,,,,,
20,,,,17.5,17.2,16.7,16.9,14.7,13,9.9,11.9,9.9,10.5,9.2,,,,,,,,,
22,,,,15.3,15,14.7,15,13.5,12,9.1,10.9,9.2,9.8,8.6,,,,,,,,,
24,,,,,13.1,13.5,13.1,12.2,11,8.4,10.1,8.5,9.2,8.1,,,,,,,,,
26,,,,,11.7,12.1,11.6,11,10.2,7.7,9.3,8,8.6,7.5,,,,,,,,,
28,,,,,,10.8,10.3,10,9.3,7.1,8.6,7.4,8,7,,,,,,,,,
30,,,,,,9.7,9.2,9.3,8.3,6.6,8,6.9,7.5,6.6,,,,,,,,,
32,,,,,,7.5,8.2,8.5,7.8,6.1,7.4,6.5,7,6.1,,,,,,,,,
34,,,,,,,7.8,7.6,7.2,5.6,6.8,6,6.5,5.7,,,,,,,,,
36,,,,,,,7.1,6.9,6.8,5.3,6.2,5.7,6.1,5.3,,,,,,,,,
38,,,,,,,,6.2,6.2,4.9,5.9,5.3,5.6,4.9,,,,,,,,,
40,,,,,,,,5.8,5.6,4.6,5.4,5,5,4.6,,,,,,,,,
42,,,,,,,,,5.1,4.3,4.9,4.7,4.5,4.3,,,,,,,,,
44,,,,,,,,,4.6,4,4.4,4.4,4,3.9,,,,,,,,,
46,,,,,,,,,,3.8,4,4,3.5,3.5,,,,,,,,,
48,,,,,,,,,,3.3,3.6,3.6,3.1,3.1,,,,,,,,,
50,,,,,,,,,,,,3.2,2.8,2.8,,,,,,,,,
52,,,,,,,,,,,,2.8,2.4,2.4,,,,,,,,,
54,,,,,,,,,,,,,,2.1,,,,,,,,,
56,,,,,,,,,,,,,,1.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
