,m 13.1,m 17.6,m 22.1,m 26.6,m 31.1,m 35.5,m 40,m 44.5,m 49,m 53.5,m 58,m 62,,,,,,,,,,,
2.5,180,,,,,,,,,,,,,,,,,,,,,,
3,160,86,86,,,,,,,,,,,,,,,,,,,,
3.5,139.3,86,86,86,,,,,,,,,,,,,,,,,,,
4,130.8,86,86,86,,,,,,,,,,,,,,,,,,,
4.5,123.1,86,86,86,75.7,,,,,,,,,,,,,,,,,,
5,113.9,86,86,86,74.8,,,,,,,,,,,,,,,,,,
6,95.2,85.1,86,85.7,73,58.6,,,,,,,,,,,,,,,,,
7,81.5,77.4,77.4,77.7,71.1,56.6,42.2,,,,,,,,,,,,,,,,
8,71.1,69.5,69.7,69.4,68.2,54.7,39.7,33.1,,,,,,,,,,,,,,,
9,62.9,62.4,62.6,62.3,61.8,52.9,37.3,31.7,26.5,,,,,,,,,,,,,,
10,56.2,56.1,56.3,56,55.5,51,35.3,30.2,25.6,22,,,,,,,,,,,,,
11,47.5,50.2,50.4,50.1,49.6,49.1,33.5,28.8,24.7,21.3,17.1,,,,,,,,,,,,
12,,45.2,45.5,45.2,46,45.5,31.7,27.5,23.7,20.6,16.7,13.7,,,,,,,,,,,
13,,40.9,41.2,40.9,41.7,41.2,30.1,26.2,22.7,20,16.4,13.4,,,,,,,,,,,
14,,37,37.3,38.2,37.8,37.3,28.6,24.9,21.8,19.3,16,13.1,,,,,,,,,,,
16,,,31.2,32,31.7,31.1,25.7,22.8,19.9,18.2,15.2,12.4,,,,,,,,,,,
18,,,27.2,27.4,27,26.4,23.3,20.8,18.4,17.1,14.4,11.8,,,,,,,,,,,
20,,,22.3,23.6,23.3,22.7,21.4,19.1,17,15.9,13.7,11.2,,,,,,,,,,,
22,,,,20.6,20.2,19.6,19.7,17.5,15.7,14.8,12.9,10.6,,,,,,,,,,,
24,,,,18.1,17.7,17.1,17.5,16.1,14.5,13.8,12.2,10,,,,,,,,,,,
26,,,,,16.1,15.7,15.4,14.8,13.4,12.8,11.5,9.3,,,,,,,,,,,
28,,,,,14.4,14.5,13.7,13.6,12.5,11.9,10.8,8.7,,,,,,,,,,,
30,,,,,,13,12.2,12.2,11.6,11.1,10.2,8.1,,,,,,,,,,,
32,,,,,,11.7,11.1,10.9,10.5,10.4,9.5,7.6,,,,,,,,,,,
34,,,,,,,10.5,9.8,9.8,9.4,8.9,7.1,,,,,,,,,,,
36,,,,,,,9.6,8.8,8.9,8.7,8.4,6.6,,,,,,,,,,,
38,,,,,,,7.6,8,8,8.1,7.8,6.1,,,,,,,,,,,
40,,,,,,,,7.7,7.2,7.4,7,5.7,,,,,,,,,,,
42,,,,,,,,7.4,6.5,6.7,6.3,5.4,,,,,,,,,,,
44,,,,,,,,,6,6.1,5.7,5.1,,,,,,,,,,,
46,,,,,,,,,5.8,5.5,5.2,4.8,,,,,,,,,,,
48,,,,,,,,,,5.1,4.7,4.5,,,,,,,,,,,
50,,,,,,,,,,4.7,4.3,4.2,,,,,,,,,,,
52,,,,,,,,,,,4,4,,,,,,,,,,,
54,,,,,,,,,,,3.6,3.6,,,,,,,,,,,
56,,,,,,,,,,,2,3.3,,,,,,,,,,,
58,,,,,,,,,,,,3,,,,,,,,,,,
60,,,,,,,,,,,,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
