,m 13.2,m 17.7,m 22.2,m 26.7,m 31.3,m 35.8,m 40.3,m 44.8,m 49.3,m 53.8,58.3 m,m 62.8,m 66.7,m 67.3,m 71.2,m 72,,,,,,,
3,200,124.4,120.5,,,,,,,,,,,,,,,,,,,,
3.5,142,125.5,120.7,,,,,,,,,,,,,,,,,,,,
4,133,123.6,119,112.8,,,,,,,,,,,,,,,,,,,
4.5,125,115.3,115.1,111.4,,,,,,,,,,,,,,,,,,,
5,117,107.8,107.6,107.2,89.1,,,,,,,,,,,,,,,,,,
6,105,95.4,94.7,94.4,87.1,71.1,,,,,,,,,,,,,,,,,
7,93,85.1,84.4,84,82.9,69.5,54.1,,,,,,,,,,,,,,,,
8,82,76.4,75.9,75.5,75.9,66.5,52,39.1,,,,,,,,,,,,,,,
9,73,69.3,68.7,69.2,68.7,62.5,49.7,37.3,31.1,,,,,,,,,,,,,,
10,62,63.2,62.6,63.1,62.7,58.6,47.3,35.4,29.7,24.9,,,,,,,,,,,,,
11,,57.7,57.1,57.7,57.2,55.2,44.8,33.5,28.4,24,19.7,,,,,,,,,,,,
12,,53,52.3,52.9,52.4,52.3,42.4,31.6,27.1,23.2,19.1,16,,,,,,,,,,,
13,,48.5,48.6,48.5,48,48.6,40.4,29.7,25.8,22.3,18.5,15.6,12.1,13.2,,,,,,,,,
14,,44.7,44.8,44.6,44,44.8,38.7,27.8,24.5,21.4,18,15.2,11.8,12.9,11,,,,,,,,
15,,39.6,41.2,40.9,41.1,41.2,37,26.5,23.2,20.5,17.4,14.8,11.5,12.6,10.8,10.6,,,,,,,
16,,,38.1,37.8,38.5,38,35.2,25.2,22,19.5,16.8,14.4,11.2,12.3,10.5,10.4,,,,,,,
18,,,32.8,32.4,33.2,32.6,32.4,22.5,20.1,17.8,15.5,13.6,10.5,11.7,9.9,9.8,,,,,,,
20,,,,28.3,28.9,28.3,29,20.4,18.2,16.3,14.4,12.7,9.9,11,9.4,9.3,,,,,,,
22,,,,25.7,25.4,25.9,25.5,18.7,16.5,15,13.4,11.9,9.2,10.4,8.9,8.7,,,,,,,
24,,,,21.8,22.4,23.2,22.6,17,15.3,13.6,12.5,11.2,8.6,9.7,8.4,8.2,,,,,,,
26,,,,,19.8,20.6,19.9,15.9,14.1,12.7,11.6,10.5,8.1,9.2,7.9,7.6,,,,,,,
28,,,,,18.4,18.4,17.8,15.2,12.9,11.7,10.8,9.7,7.6,8.7,7.5,7.1,,,,,,,
30,,,,,,16.6,15.9,14.4,11.8,10.8,10,9.1,7.1,8.2,7.1,6.6,,,,,,,
32,,,,,,15,14.4,13.7,11,9.9,9.3,8.5,6.6,7.8,6.6,6.2,,,,,,,
34,,,,,,,13,13.1,10.1,9.2,8.5,8,6.3,7.4,6.2,5.7,,,,,,,
36,,,,,,,11.8,12.4,9.3,8.6,7.9,7.4,5.9,7,5.9,5.3,,,,,,,
38,,,,,,,,11.3,8.8,7.9,7.4,6.9,5.5,6.6,5.6,5,,,,,,,
40,,,,,,,,10.4,8.3,7.3,6.9,6.5,5.2,6.2,5.3,4.7,,,,,,,
42,,,,,,,,8.8,7.9,6.9,6.5,6.1,4.9,5.9,5,4.3,,,,,,,
44,,,,,,,,,7.6,6.4,6,5.8,4.6,5.6,4.7,4,,,,,,,
46,,,,,,,,,7.4,6.1,5.7,5.4,4.4,5.3,4.5,3.7,,,,,,,
48,,,,,,,,,,5.9,5.4,5.1,4.1,5,4.3,3.5,,,,,,,
50,,,,,,,,,,5.8,5.1,4.8,3.9,4.7,4.1,3.2,,,,,,,
52,,,,,,,,,,,4.8,4.6,3.7,4.4,3.8,3,,,,,,,
54,,,,,,,,,,,4.7,4.3,3.5,4.2,3.6,2.7,,,,,,,
56,,,,,,,,,,,,4.2,3.3,4,3.5,2.5,,,,,,,
58,,,,,,,,,,,,4,3.1,3.8,3.3,2.3,,,,,,,
60,,,,,,,,,,,,3.9,3,3.6,3.1,2.1,,,,,,,
62,,,,,,,,,,,,,2.8,3.4,3,1.9,,,,,,,
64,,,,,,,,,,,,,2.8,3.3,2.9,1.8,,,,,,,
66,,,,,,,,,,,,,,,2.8,1.6,,,,,,,
68,,,,,,,,,,,,,,,2.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
