,m 12.7,m 16.7,m 20.8,m 24.8,m 28.8,m 32.9,m 36.9,m 40.9,m 44.9,m 48.9,m 52.9,m 56.9,m 60.8,m 64.8,m 68.8,m 69.6,m 72.3,m 74.1,m 75,,,,
3,230,122.1,121.4,,,,,,,,,,,,,,,,,,,,
3.5,145.8,123.1,122,121.2,,,,,,,,,,,,,,,,,,,
4,138.5,124.2,122.8,121.8,105.9,,,,,,,,,,,,,,,,,,
4.5,131.8,121.7,121.4,117.1,106.3,,,,,,,,,,,,,,,,,,
5,122.8,114.7,113.2,106.8,102.2,91.1,,,,,,,,,,,,,,,,,
6,107.5,101.7,99.4,95.7,90.9,86.9,80,,,,,,,,,,,,,,,,
7,95.5,91.2,89.8,86.8,82.9,79.6,75.6,66.5,43,,,,,,,,,,,,,,
8,85.3,82.3,80.7,79.2,76,72.5,68.8,65.3,51.8,39.2,,,,,,,,,,,,,
9,76,74.7,73.3,71.9,69.5,66.2,64,61.3,49,42.1,34.9,,,,,,,,,,,,
10,66.4,68.1,67.1,65.9,64,61,59.4,56.8,46.1,40,34,28.8,,,,,,,,,,,
11,52.6,62.2,61.8,60.8,59,56.5,55.1,52.6,43.4,38,32.9,28.3,23.8,,,,,,,,,,
12,,57.1,57,56.3,54.6,52.6,51.4,49,40.9,36.1,31.9,27.4,23.5,19.7,,,,,,,,,
13,,52.3,52.2,52.4,50.8,49.6,48.2,45.9,38.6,34.3,30.8,26.4,22.8,19.5,16.4,15.3,12.5,,,,,,
14,,46.3,48.1,48.8,47.5,46.9,45.3,43.1,36.5,32.6,29.7,25.5,22.1,19.2,16.2,15.6,12.7,12,11.7,,,,
15,,37.1,44.3,45,44.5,44.1,42.7,40.6,34.6,31.1,28.4,24.6,21.4,18.8,15.9,15.4,12.6,11.9,11.6,,,,
16,,,40.9,41.6,41.3,41.5,40.2,38.4,32.8,29.7,27.2,23.7,20.7,18.2,15.6,15.1,12.3,11.7,11.4,,,,
18,,,34.5,35.9,35.6,36.2,35.6,34.4,29.6,27.2,25.1,22.1,19.4,17.2,14.9,14.4,11.9,11.3,11,,,,
20,,,,31.3,31.9,31.6,31.1,30.3,26.8,25.3,23.2,20.7,18.2,16.2,14.3,13.8,11.4,10.8,10.6,,,,
22,,,,26.4,28.3,27.9,27.4,26.8,24.3,23.5,21.5,19.4,17.1,15.3,13.6,13.2,10.9,10.4,10.2,,,,
24,,,,,25.1,24.7,24.1,23.4,22.1,21.7,19.9,18.1,16.1,14.5,12.9,12.6,10.4,9.9,9.7,,,,
26,,,,,21.4,21.9,21.4,20.6,20.4,19.9,18.5,16.9,15.1,13.7,12.3,12,9.9,9.4,9.3,,,,
28,,,,,,19.6,19,18.3,18.9,18.3,17,15.7,14.1,12.9,11.6,11.3,9.5,8.9,8.8,,,,
30,,,,,,17,17,17.3,17,16.3,15.7,14.6,13.3,12.1,10.9,10.7,9,8.4,8.3,,,,
32,,,,,,,15.4,16,15.2,14.9,14.3,13.8,12.4,11.4,10.3,10.1,8.6,7.9,7.9,,,,
34,,,,,,,14.4,14.5,13.7,13.4,13.1,13,11.6,10.7,9.7,9.6,8.2,7.5,7.4,,,,
36,,,,,,,,13.2,12.4,12.1,12.2,11.9,10.9,10.1,9.2,9,7.9,7.1,7,,,,
38,,,,,,,,11.4,11.3,11.4,11.4,10.8,10.2,9.5,8.6,8.5,7.5,6.7,6.6,,,,
40,,,,,,,,,10.7,10.7,10.4,9.7,9.6,9,8.2,8,7.2,6.3,6.2,,,,
42,,,,,,,,,9.8,9.8,9.4,8.8,8.8,8.5,7.7,7.6,6.9,5.9,5.8,,,,
44,,,,,,,,,,9,8.6,8.2,8.1,8,7.3,7.2,6.6,5.6,5.4,,,,
46,,,,,,,,,,7.6,8,7.8,7.7,7.5,6.9,6.8,6.3,5.3,5,,,,
48,,,,,,,,,,,7.7,7.2,7.1,6.9,6.5,6.5,6,5,4.7,,,,
50,,,,,,,,,,,6.6,6.8,6.6,6.3,6,6.1,5.7,4.7,4.4,,,,
52,,,,,,,,,,,,6.5,6.3,5.7,5.4,5.5,5.4,4.4,4.1,,,,
54,,,,,,,,,,,,5.6,5.8,5.3,4.9,5,5,4.2,3.9,,,,
56,,,,,,,,,,,,,5.3,4.9,4.4,4.5,4.5,4,3.6,,,,
58,,,,,,,,,,,,,4.3,4.5,4.1,4.1,4.2,3.8,3.4,,,,
60,,,,,,,,,,,,,,4.2,3.7,3.8,3.8,3.6,3.2,,,,
62,,,,,,,,,,,,,,3.2,3.4,3.5,3.5,3.4,3,,,,
64,,,,,,,,,,,,,,,3.1,3.1,3.2,3.1,2.8,,,,
66,,,,,,,,,,,,,,,2.2,2.7,2.9,2.8,2.7,,,,
68,,,,,,,,,,,,,,,,,2.6,2.5,2.4,,,,
70,,,,,,,,,,,,,,,,,1.5,2.2,2.1,,,,
72,,,,,,,,,,,,,,,,,,1,1.5,,,,
