,m 8.2,m 11,m 13.8,m 16.5,m 19.3,m 22.1,m 24.9,m 27.7,m 30.4,m 33.2,m 36
3,44.4,42.9,40,33.5,30,25.5,20.4,,,,
35,40.5,40.3,38.7,33.8,29.5,25.2,19.9,,,,
4,36.9,36.6,36,33.6,29.1,24.9,19.6,15.8,,,
45,33.1,33.4,32.8,31.6,28.7,24.4,19.6,15.7,13,,
5,29.5,29.9,29.6,28.9,27.8,24,19.3,15.7,13,10.6,
6,,24.2,24.3,24.3,23.6,22.7,18.6,15.2,12.9,10.5,8.2
7,,19.7,19.9,19.9,19.6,18.5,17.4,14.5,12.5,10.3,8.1
8,,16,16.3,16.7,16.3,15.4,14.6,13.6,11.9,9.9,8
9,,,13.6,13.7,13.6,13.1,12.5,12.3,11.2,9.5,7.8
10,,,11.4,11.5,11.4,11.2,11.3,10.7,10.2,9,7.6
11,,,9.8,9.9,9.8,10,9.9,9.4,9,8.6,7.3
12,,,,8.6,8.6,8.7,8.6,8.3,8.2,7.9,7.1
13,,,,7.6,7.8,7.7,7.5,7.6,7.4,7.1,6.8
14,,,,6.8,7,6.9,6.8,6.8,6.6,6.6,6.4
15,,,,,6.3,6.1,6.2,6.1,6.1,6.1,5.8
16,,,,,5.6,5.6,5.6,5.6,5.5,5.5,5.3
17,,,,,,5.2,5.1,5.1,5,4.9,4.7
18,,,,,,4.8,4.7,4.7,4.5,4.4,4.2
19,,,,,,4.4,4.3,4.3,4.2,4.1,3.9
20,,,,,,,3.9,3.9,3.8,3.7,3.5
21,,,,,,,3.6,3.6,3.5,3.4,3.2
22,,,,,,,3.4,3.3,3.2,3.1,2.9
23,,,,,,,,3.1,3,2.9,2.7
24,,,,,,,,2.9,2.7,2.7,2.5
25,,,,,,,,2.7,2.5,2.5,2.3
26,,,,,,,,,2.3,2.3,2.1
27,,,,,,,,,2.2,2.1,1.9
28,,,,,,,,,2,1.9,1.7
29,,,,,,,,,,1.8,1.6
30,,,,,,,,,,1.6,1.5
31,,,,,,,,,,,1.3
32,,,,,,,,,,,1.2
33,,,,,,,,,,,1.1
