,m 14.9,m 20,m 25,m 30.1,m 35.2,m 40.2,m 45.3,m 50.4,m 55.5,m 60.5,m 65.6,m 69.1,m 70,,,,,,,,,,
3,350,,,,,,,,,,,,,,,,,,,,,,
3.5,200.6,155.6,,,,,,,,,,,,,,,,,,,,,
4,188.6,155.7,147.9,,,,,,,,,,,,,,,,,,,,
4.5,177.9,155.7,148.1,112.2,,,,,,,,,,,,,,,,,,,
5,168.3,148.3,145.6,112.9,,,,,,,,,,,,,,,,,,,
6,146.6,131.3,130.6,111.9,89.9,,,,,,,,,,,,,,,,,,
7,125.7,117.3,116.6,105.9,87.2,70.2,,,,,,,,,,,,,,,,,
8,109.7,105.8,105,102.5,86,69.9,53.1,,,,,,,,,,,,,,,,
9,97.1,96.2,95.5,95.1,84.7,69.2,51.9,41.1,,,,,,,,,,,,,,,
10,87,87.8,86.9,86.6,83.2,68.4,49.8,40.4,32.3,,,,,,,,,,,,,,
11,78.5,79.4,78.6,78.3,79,66.8,47.3,39.1,31.9,,,,,,,,,,,,,,
12,71.5,72.3,71.5,72.2,72,64.8,44.8,37.5,31.4,26,,,,,,,,,,,,,
13,51.8,66.4,65.6,66.4,65.9,62.5,42.5,35.9,30.3,25.6,20.8,,,,,,,,,,,,
14,,61.1,61.2,61.2,60.7,59.6,40.2,34.3,29.2,25,20.7,17.4,16.8,,,,,,,,,,
16,,52.6,52.8,52.6,52.1,53.1,36.2,31.3,27,23.5,20.1,16.8,16.4,,,,,,,,,,
18,,36.7,46.2,46,45.4,46.3,32.4,28.7,24.9,21.9,19.2,16,15.7,,,,,,,,,,
20,,,40.9,40.7,40.9,41,30,26.1,23,20.4,18.2,15.1,14.9,,,,,,,,,,
22,,,36.5,36.2,37.1,36.5,27.9,23.8,21.3,19,17.1,14.3,14.1,,,,,,,,,,
24,,,,32.2,33.2,32.5,26.2,21.8,19.6,17.7,16.1,13.4,13.3,,,,,,,,,,
26,,,,29.8,29.7,29,24.5,20,18.1,16.5,15.1,12.7,12.6,,,,,,,,,,
28,,,,21.5,26.8,26,23.2,18.5,16.8,15.4,14.2,12,11.9,,,,,,,,,,
30,,,,,24.3,23.5,22,17.1,15.5,14.3,13.3,11.3,11.2,,,,,,,,,,
32,,,,,22,21.4,20.9,16.2,14.4,13.3,12.5,10.6,10.5,,,,,,,,,,
34,,,,,,19.4,19.8,15.4,13.3,12.4,11.7,10,9.9,,,,,,,,,,
36,,,,,,17.8,18.5,14.6,12.5,11.5,11,9.3,9.2,,,,,,,,,,
38,,,,,,14,17,13.9,11.7,10.8,10.3,8.8,8.6,,,,,,,,,,
40,,,,,,,15.6,13.2,11.1,10.2,9.6,8.3,8.1,,,,,,,,,,
42,,,,,,,14.4,12.6,10.6,9.6,9,7.8,7.6,,,,,,,,,,
44,,,,,,,,12.1,10,9.1,8.5,7.3,7,,,,,,,,,,
46,,,,,,,,11.6,9.6,8.6,7.9,6.9,6.6,,,,,,,,,,
48,,,,,,,,8.9,9.2,8.1,7.5,6.6,6.2,,,,,,,,,,
50,,,,,,,,,8.8,7.7,7,6.2,5.7,,,,,,,,,,
52,,,,,,,,,8.5,7.3,6.5,5.9,5.4,,,,,,,,,,
54,,,,,,,,,,6.9,6.1,5.5,5,,,,,,,,,,
56,,,,,,,,,,6.6,5.8,5.2,4.6,,,,,,,,,,
58,,,,,,,,,,5.4,5.4,5,4.3,,,,,,,,,,
60,,,,,,,,,,,5.1,4.7,4,,,,,,,,,,
62,,,,,,,,,,,4.8,4.4,3.7,,,,,,,,,,
64,,,,,,,,,,,,4.2,3.5,,,,,,,,,,
66,,,,,,,,,,,,3.9,3.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
