,m 15.4,m 20.5,m 25.7,m 30.8,m 36,m 41.1,m 46.3,m 51.4,m 56.6,m 60,,,,,,,,,,,,,
3,400,,,,,,,,,,,,,,,,,,,,,,
3.5,270,202,,,,,,,,,,,,,,,,,,,,,
4,240,202,202,,,,,,,,,,,,,,,,,,,,
4.5,229,202,202,172,,,,,,,,,,,,,,,,,,,
5,217,197,198,171,,,,,,,,,,,,,,,,,,,
6,196,178,177,160,131,,,,,,,,,,,,,,,,,,
7,178,161,161,148,122,93,,,,,,,,,,,,,,,,,
8,163,146,145,137,113,86,73,,,,,,,,,,,,,,,,
9,146,134,133,127,106,80,69,59,,,,,,,,,,,,,,,
10,131,122,123,119,99,75,65,56,47.5,,,,,,,,,,,,,,
12,108,105,104,104,88,66,59,51,44,38.5,,,,,,,,,,,,,
14,,90,89,90,79,59,53,46.5,41,36,,,,,,,,,,,,,
16,,80,78,79,71,54,47,42.5,38,33.5,,,,,,,,,,,,,
18,,70,70,69,65,50,42.5,39,35.5,31,,,,,,,,,,,,,
20,,,62,61,60,46.5,38.5,35.5,32.5,29.2,,,,,,,,,,,,,
22,,,56,55,55,43.5,35,32.5,30,27.2,,,,,,,,,,,,,
24,,,,49,50,40.5,32,29.9,27.7,25.3,,,,,,,,,,,,,
26,,,,44.5,45.5,38,29.9,27.5,25.8,23.5,,,,,,,,,,,,,
28,,,,40.5,41.5,36,28.2,25.3,24,22.1,,,,,,,,,,,,,
30,,,,,38,34,26.6,23.3,22.4,20.6,,,,,,,,,,,,,
32,,,,,35,32.5,25.1,21.7,20.8,19.2,,,,,,,,,,,,,
34,,,,,,31,23.7,20.2,19.5,17.9,,,,,,,,,,,,,
36,,,,,,29.5,22.7,19,18.2,16.8,,,,,,,,,,,,,
38,,,,,,28.2,21.8,17.9,17,15.8,,,,,,,,,,,,,
40,,,,,,,20.9,17.1,15.9,14.9,,,,,,,,,,,,,
42,,,,,,,20.1,16.3,14.8,14,,,,,,,,,,,,,
44,,,,,,,19.1,15.6,14,13.1,,,,,,,,,,,,,
46,,,,,,,,14.9,13.3,12.3,,,,,,,,,,,,,
48,,,,,,,,14.2,12.5,11.8,,,,,,,,,,,,,
50,,,,,,,,,11.8,11.2,,,,,,,,,,,,,
52,,,,,,,,,11.2,10.6,,,,,,,,,,,,,
54,,,,,,,,,10.5,10,,,,,,,,,,,,,
56,,,,,,,,,,9.5,,,,,,,,,,,,,
58,,,,,,,,,,8.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
