,m 16.1,m 21.4,m 26.6,m 31.9,m 32.8,m 37.2,m 42.5,m 44.3,m 47.8,m 49.6,m 53.1,m 55.8,m 58.3,m 61.1,m 63.6,m 66.4,m 68.9,m 71.7,m 73.5,m 74.2,m 77,m 78.8,m 79.5,m 82.2,m 84.1,m 85
3,450,193.3,,,,,,,,,,,,,,,,,,,,,,,,
3.5,239.3,194.1,188.3,,,,,,,,,,,,,,,,,,,,,,,
4,239.3,195,189.1,,,,,,,,,,,,,,,,,,,,,,,
4.5,239.3,196.2,189.8,183.9,,,,,,,,,,,,,,,,,,,,,,
5,239.3,197.5,190.5,180.9,87.6,,,,,,,,,,,,,,,,,,,,,
6,238.8,200.2,191.1,174.6,81.1,162.7,,,,,,,,,,,,,,,,,,,,
7,212.4,186.4,182.3,166.2,74.7,155,123,53.6,,,,,,,,,,,,,,,,,,
8,185.3,167.6,166.4,161,69.3,147.4,116.3,51,103.3,45.3,,,,,,,,,,,,,,,,
9,164.1,152.1,150.9,145.9,64,139.4,109.6,48.2,98.1,43.2,68.5,,,,,,,,,,,,,,,
10,146.8,137.8,137.4,133.1,59,129.5,104.2,45.7,93,41,64.9,37.4,57,,,,,,,,,,,,,
12,120.5,115.6,115.6,112.7,51.7,110.2,94.3,41.3,83.6,37.2,59.2,34.5,52.4,32.3,45,30.9,38.6,,,,,,,,,
14,101.4,98.6,98.5,97.9,45.2,94.6,85.7,37.2,74.7,34,55.1,31.9,48.6,30.2,41.5,29.2,36.2,27.5,25.8,31.2,25.8,,,,,
16,,84.6,84.6,85,40.6,82.4,78.8,34.1,67.2,31,51.1,29.6,45.3,28.3,38.4,27.5,33.7,26.1,24.5,29.6,24.7,22.7,25.2,22.3,20.9,20
18,,73.2,73.2,73.8,36,72.3,71.8,31,61.2,28.6,47.8,27.4,42,26.4,36,26,31.4,24.7,23.1,28,23.5,21.7,24.2,21.5,20.1,19.2
20,,49.3,64.8,64.7,32.5,63.8,64.1,28.5,55.3,26.2,44.9,25.6,39.2,24.6,33.6,24.4,29.4,23.5,22,26.4,22.5,20.7,23.2,20.7,19.3,18.4
22,,,57.6,57.3,29.7,56.5,57.5,26.3,50.7,23.9,42.1,23.9,36.8,23.1,31.5,22.9,27.8,22.3,20.8,24.8,21.5,19.8,22.1,19.9,18.4,17.5
24,,,51.6,51.2,27.1,52.4,51.8,24.2,46.8,22.2,39.7,22.2,34.4,21.7,29.8,21.7,26.2,21.1,19.6,23.3,20.6,18.9,20.9,19.1,17.7,16.7
