,m 16.1,m 21.3,m 26.5,m 31.7,m 36.9,m 42.1,m 47.3,m 52.5,m 57.7,m 62.9,m 68.1,m 73.4,m 78.6,m 84,,,,,,,,,,,,
3,500,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,400,262,,,,,,,,,,,,,,,,,,,,,,,,
4,325,262,248,,,,,,,,,,,,,,,,,,,,,,,
4.5,262,259,239,,,,,,,,,,,,,,,,,,,,,,,
5,261,246,229,183,,,,,,,,,,,,,,,,,,,,,,
6,231,219,208,168,145,,,,,,,,,,,,,,,,,,,,,
7,206,195,191,156,133,116,,,,,,,,,,,,,,,,,,,,
8,186,176,172,145,123,107,93,,,,,,,,,,,,,,,,,,,
9,170,159,157,134,114,100,87,73,,,,,,,,,,,,,,,,,,
10,155,145,144,124,106,94,81,69,60,,,,,,,,,,,,,,,,,
12,128,121,121,107,92,83,72,63,54,46.5,41,,,,,,,,,,,,,,,
14,107,102,102,93,80,73,64,57,49.5,43,38,33.5,,,,,,,,,,,,,,
16,,88,88,84,72,63,57,52,45,39,35,31,27.4,20.9,,,,,,,,,,,,
18,,77,76,77,65,55,51,46,41.5,36,32.5,28.8,25.8,19.5,,,,,,,,,,,,
20,,56,67,68,58,49.5,45,41.5,38,33,30,26.8,24.2,18.2,,,,,,,,,,,,
22,,,59,60,53,45,40,37.5,35,30.5,27.8,24.9,22.6,16.8,,,,,,,,,,,,
24,,,53,53,47.5,40.5,36.5,34,32,28.2,25.9,23.2,21.1,15.6,,,,,,,,,,,,
26,,,,47.5,42.5,36.5,34,30.5,28.9,25.9,24.1,21.6,19.8,14.4,,,,,,,,,,,,
28,,,,42.5,39.5,33.5,31.5,28.1,26.8,24,22.5,20.2,18.5,13.4,,,,,,,,,,,,
30,,,,32.5,36,31,28.9,26,24.8,22.2,20.7,18.6,17.4,12.4,,,,,,,,,,,,
32,,,,,32.5,28.8,26.6,24,23,20.5,19,17.3,16.3,11.4,,,,,,,,,,,,
34,,,,,28.8,26.6,24.5,22.2,21.4,19,17.5,16.1,15,10.2,,,,,,,,,,,,
36,,,,,,24.5,22.5,20.5,19.8,17.4,16.1,15,13.9,9.2,,,,,,,,,,,,
38,,,,,,22.6,20.6,18.9,18.3,15.8,15,13.9,12.9,8.4,,,,,,,,,,,,
40,,,,,,19.4,18.8,17.4,16.9,14.2,14,12.9,12,7.6,,,,,,,,,,,,
42,,,,,,,17,15.9,15.6,13.1,13,11.9,11.1,6.9,,,,,,,,,,,,
44,,,,,,,15.3,14.5,14.3,12.1,11.9,11,10.3,6.2,,,,,,,,,,,,
46,,,,,,,9.2,13.1,13.1,11.2,10.9,10.1,9.5,5.5,,,,,,,,,,,,
48,,,,,,,,11.8,11.9,10.3,9.9,9.3,8.8,4.8,,,,,,,,,,,,
50,,,,,,,,8.8,10.8,9.4,8.9,8.7,8.1,4.2,,,,,,,,,,,,
52,,,,,,,,,9.6,8.5,8.2,8.1,7.6,3.8,,,,,,,,,,,,
54,,,,,,,,,8.5,7.7,7.6,7.5,7.2,3.5,,,,,,,,,,,,
56,,,,,,,,,5.2,6.9,7,6.9,6.7,3.2,,,,,,,,,,,,
58,,,,,,,,,,6.2,6.4,6.4,6.3,2.8,,,,,,,,,,,,
60,,,,,,,,,,5.4,5.8,5.8,5.9,2.5,,,,,,,,,,,,
62,,,,,,,,,,,5.3,5.3,5.4,2.2,,,,,,,,,,,,
64,,,,,,,,,,,4.7,4.8,5,1.9,,,,,,,,,,,,
66,,,,,,,,,,,3.2,4.3,4.5,,,,,,,,,,,,,
68,,,,,,,,,,,,3.8,4.1,,,,,,,,,,,,,
70,,,,,,,,,,,,3.4,3.7,,,,,,,,,,,,,
72,,,,,,,,,,,,,3.3,,,,,,,,,,,,,
74,,,,,,,,,,,,,2.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
