,m 16.3,m 21.8,m 27.2,m 32.7,m 38.2, m43.7,m 49.1,m 50.1,m 51,m 52,,,,,,,,,,,,,,,,
3,750,268.9,268.9,,,,,,,,,,,,,,,,,,,,,,,
3.5,416.4,268.9,268.9,,,,,,,,,,,,,,,,,,,,,,,
4,362.2,268.9,268.9,267.9,,,,,,,,,,,,,,,,,,,,,,
4.5,331.5,268.9,268.9,266.4,192.4,,,,,,,,,,,,,,,,,,,,,
5,312.3,268.9,266.8,264.9,185.5,,,,,,,,,,,,,,,,,,,,,
6,282.3,268.9,260.9,259.9,170.5,141.1,,,,,,,,,,,,,,,,,,,,
7,257.2,257,253.7,238.1,156,131.7,111,107.4,100.1,96,,,,,,,,,,,,,,,,
8,235.8,235.7,234.9,216,145.5,122.4,104.7,101.7,95.5,90.8,,,,,,,,,,,,,,,,
9,217.4,217.3,216,195.4,135.5,114.9,98.5,95.9,90.9,85.6,,,,,,,,,,,,,,,,
10,201.5,201.5,194.7,180.9,125.5,108.3,93,90.5,86.4,80.4,,,,,,,,,,,,,,,,
11,187.7,187.6,181.4,167.2,117,101.8,88.6,86.3,82.7,76.6,,,,,,,,,,,,,,,,
12,175.6,175.5,170.3,153.5,110.3,95.2,84.1,82.1,79.2,73,,,,,,,,,,,,,,,,
14,155.2,155.1,148.2,133.8,97,85.5,75.4,73.8,72,65.7,,,,,,,,,,,,,,,,
16,,138.6,131.1,118.6,85.9,76.7,68.9,67.4,65.8,59.6,,,,,,,,,,,,,,,,
18,,125,117.9,104,77.6,68.6,63,61.8,60.6,54.8,,,,,,,,,,,,,,,,
20,,101.9,106.8,94.3,70,63.2,57,56.2,55.4,50.1,,,,,,,,,,,,,,,,
22,,,97.8,85.2,63.7,57.8,52.9,52,51,45.9,,,,,,,,,,,,,,,,
24,,,90.4,77.7,59.3,52.4,49,48.3,47.5,42.7,,,,,,,,,,,,,,,,
26,,,,71.5,54.8,48.4,45.1,44.6,44,39.5,,,,,,,,,,,,,,,,
28,,,,65.9,51.1,45.1,41.4,40.9,40.5,36.4,,,,,,,,,,,,,,,,
30,,,,61.3,48,41.8,38.7,38.1,37.4,33.5,,,,,,,,,,,,,,,,
32,,,,,45,38.8,36.3,35.8,35.2,31.3,,,,,,,,,,,,,,,,
34,,,,,42.8,36.3,33.9,33.5,33,29.4,,,,,,,,,,,,,,,,
36,,,,,40.9,33.7,31.7,31.2,30.9,27.4,,,,,,,,,,,,,,,,
38,,,,,,31.7,30,29.5,29,25.6,,,,,,,,,,,,,,,,
40,,,,,,30.3,28.4,28,27.5,24.2,,,,,,,,,,,,,,,,
42,,,,,,29.3,26.7,26.4,26.1,22.9,,,,,,,,,,,,,,,,
44,,,,,,,25.4,25.1,24.6,21.5,,,,,,,,,,,,,,,,
46,,,,,,,24,23.8,23.5,20.5,,,,,,,,,,,,,,,,
48,,,,,,,,22.7,22.4,19.5,,,,,,,,,,,,,,,,
50,,,,,,,,,,18.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
