,m 12,m 16.4,m 20.8,m 29.5,m 38.3,m 42.6,m 47,,,,,,,,,,,,,,,,,,,
2.7,90,,,,,,,,,,,,,,,,,,,,,,,,,
3,80,48,43.5,,,,,,,,,,,,,,,,,,,,,,,
3.5,71.2,48,43.5,,,,,,,,,,,,,,,,,,,,,,,
4,64.4,48,43.5,19.2,,,,,,,,,,,,,,,,,,,,,,
4.5,60.3,48,43.5,19.2,,,,,,,,,,,,,,,,,,,,,,
5,56.7,48,43.5,19.2,,,,,,,,,,,,,,,,,,,,,,
6,48.6,46.6,41.8,19.2,,,,,,,,,,,,,,,,,,,,,,
7,40.3,39.1,35.2,19.2,16.8,12.5,,,,,,,,,,,,,,,,,,,,
8,34,31.3,28.2,19.2,16.8,12.3,,,,,,,,,,,,,,,,,,,,
9,27.6,25.7,23.2,19.2,16.6,12.1,11.3,,,,,,,,,,,,,,,,,,,
10,,21.2,19.5,18.8,15.7,11.8,11,,,,,,,,,,,,,,,,,,,
12,,14.8,17.1,15.8,13.7,10.8,10.1,,,,,,,,,,,,,,,,,,,
14,,10.9,12.9,13,11.2,9.7,9.2,,,,,,,,,,,,,,,,,,,
16,,,10.1,10.2,9,8.9,8.3,,,,,,,,,,,,,,,,,,,
18,,,8.1,8.2,7.9,7.7,7.2,,,,,,,,,,,,,,,,,,,
20,,,,6.7,6.8,6.2,5.7,,,,,,,,,,,,,,,,,,,
22,,,,5.5,5.6,5,4.6,,,,,,,,,,,,,,,,,,,
24,,,,4.5,4.7,4.2,3.8,,,,,,,,,,,,,,,,,,,
26,,,,3.9,4,3.5,3.2,,,,,,,,,,,,,,,,,,,
28,,,,,3.4,3,2.6,,,,,,,,,,,,,,,,,,,
30,,,,,3,2.6,2.2,,,,,,,,,,,,,,,,,,,
32,,,,,2.6,2.2,1.8,,,,,,,,,,,,,,,,,,,
34,,,,,2.3,1.9,1.5,,,,,,,,,,,,,,,,,,,
36,,,,,2,1.6,1.2,,,,,,,,,,,,,,,,,,,
38,,,,,,1.3,0.9,,,,,,,,,,,,,,,,,,,
40,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
