,m 12.6,m 17.3,m 22,m 26.6,m 31.3,m 36,m 40.7,m 45.3,m 50,,,,,,,,,,,,,,,,,
2.5,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,80,56.8,53.6,,,,,,,,,,,,,,,,,,,,,,,
3.5,68.8,57.4,53.6,42.2,,,,,,,,,,,,,,,,,,,,,,
4,64.1,58,53.2,41.6,,,,,,,,,,,,,,,,,,,,,,
4.5,60,56.5,52.1,41,,,,,,,,,,,,,,,,,,,,,,
5,56.4,53,50.5,40.3,31.9,,,,,,,,,,,,,,,,,,,,,
6,49.7,47.2,44.9,36.9,30.4,19.4,,,,,,,,,,,,,,,,,,,,
7,41.5,42,39.6,33,28.6,18.1,16.3,,,,,,,,,,,,,,,,,,,
8,35.1,34.9,32.5,29.6,26.3,16.8,15.7,,,,,,,,,,,,,,,,,,,
9,29.5,29.1,27.2,25.3,23.3,15.8,14.9,13.8,,,,,,,,,,,,,,,,,,
10,24,24.6,23.3,21.7,20.1,14.8,14.1,13.3,10.8,,,,,,,,,,,,,,,,,
12,,18.1,17.5,16.5,15.3,13,12.5,12.2,10.5,,,,,,,,,,,,,,,,,
14,,13.8,13.2,12.9,12.1,11.6,11.1,11.1,9.9,,,,,,,,,,,,,,,,,
16,,,11.2,11.3,9.4,10.3,10,10,9,,,,,,,,,,,,,,,,,
18,,,9.1,9.4,8.2,9.2,8.8,8.5,7.9,,,,,,,,,,,,,,,,,
20,,,,7.7,7.4,7.6,7.2,6.9,6.5,,,,,,,,,,,,,,,,,
22,,,,6.5,6.4,6.3,6,5.7,5.3,,,,,,,,,,,,,,,,,
24,,,,5.5,5.4,5.3,5,4.7,4.3,,,,,,,,,,,,,,,,,
26,,,,,4.6,4.5,4.2,4,3.7,,,,,,,,,,,,,,,,,
28,,,,,4,3.9,3.7,3.5,3.1,,,,,,,,,,,,,,,,,
30,,,,,,3.4,3.2,3,2.7,,,,,,,,,,,,,,,,,
32,,,,,,3.1,2.8,2.6,2.3,,,,,,,,,,,,,,,,,
34,,,,,,,2.5,2.2,2,,,,,,,,,,,,,,,,,
36,,,,,,,2.2,1.9,1.7,,,,,,,,,,,,,,,,,
38,,,,,,,1.9,1.7,1.4,,,,,,,,,,,,,,,,,
40,,,,,,,,1.5,1.2,,,,,,,,,,,,,,,,,
42,,,,,,,,1.3,0.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
