,m 10.5,m 15.4,m 20.3,m 25.2,m 30.1,m 32.6,m 35
2.5,45,,,,,,
3,35.4,18.9,16.9,,,,
3.5,32,19.7,17.2,,,,
4,29.2,20.1,17.5,14.9,,,
4.5,26.6,20.6,17.9,15.2,,,
5,24.4,21.1,18.2,15.4,11.3,,
6,20.5,20.7,19,14.2,10.7,9.2,
7,17.4,17.6,17.7,12.8,10,8.9,7.4
8,14.8,15.1,15.2,11.8,9.3,8.4,7.1
9,,13,13.1,10.9,8.5,7.9,6.7
10,,11.3,11.4,10.1,7.9,7.4,6.3
11,,10,10.1,9.5,7.4,7,6
12,,8.9,9,8.9,6.8,6.6,5.7
13,,8,8.1,8.2,6.4,6.1,5.5
14,,,7.3,7.4,6.1,5.8,5.2
15,,,6.6,6.6,5.8,5.5,5
16,,,6,6,5.5,5.3,4.8
17,,,5.4,5.5,5.2,5,4.6
18,,,,5,5,4.8,4.4
19,,,,4.6,4.6,4.6,4.3
20,,,,4.2,4.3,4.3,4.1
21,,,,3.9,3.9,4,3.8
22,,,,3.6,3.6,3.7,3.7
23,,,,,3.4,3.4,3.4
24,,,,,3.1,3.1,3.2
25,,,,,2.9,2.9,2.9
26,,,,,2.7,2.7,2.7
27,,,,,2.5,2.5,2.5
28,,,,,,2.4,2.4
29,,,,,,2.2,2.2
30,,,,,,2,2
31,,,,,,,1.9
32,,,,,,,1.8
