,m 12.6,m 15.2,m 18.3,m 21.4,m 24.4,m 27.4,m 30.5,m 33.5,m 36.6,m 39,,
2.5,70,,,,,,,,,,,
3,66.875,39,39,,,,,,,,,
3.5,61.125,39,39,18.575,,,,,,,,
4,55.875,39,39,18.575,17.675,,,,,,,
4.5,51.025,39,39,18.575,17.675,,,,,,,
5,47.35,39,38.975,18.575,17.675,17.575,,,,,,
6,40.375,39,38.95,18.575,17.675,17.575,17.55,,,,,
7,34.375,33.95,33.925,18.575,17.675,17.575,17.55,14.475,11.675,,,
8,29.225,29.275,29.1,18.575,17.675,17.575,17.25,14.475,11.675,6.62,,
9,23.6,23.7,23.65,18.575,17.675,17.575,16.5,14.475,11.675,6.62,,
10,14.625,19.65,19.7,18.575,17.45,16.4,15.15,13.8,11.675,6.62,,
12,,14.15,14.25,14.275,14.7,13.825,12.65,11.8,10.925,6.62,,
14,,,10.725,10.8,11.225,11.6,10.825,10.075,9.53,6.62,,
16,,,5.36,8.355,8.765,9.17,9.425,8.72,8.21,6.62,,
18,,,,6.555,6.945,7.33,7.7,7.61,7.145,6.62,,
20,,,,,5.545,5.915,6.3,6.49,6.275,5.985,,
22,,,,,3.01,4.795,5.185,5.385,5.54,5.29,,
24,,,,,,3.88,4.285,4.48,4.67,4.69,,
26,,,,,,,3.54,3.735,3.92,4.095,,
28,,,,,,,2.035,3.105,3.29,3.46,,
30,,,,,,,,2.57,2.75,2.92,,
32,,,,,,,,,2.29,2.455,,
34,,,,,,,,,1.33,2.05,,
36,,,,,,,,,,1.695,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
