,m 11,m 15,m 19,m 23,m 27.1,m 31.2,m 35.3,m 39.4,m 43.4,,,
2.5,90,,,,,,,,,,,
3,75,63.1,59.5,55.8,37.625,,,,,,,
4,65.05,62.85,59,51.025,37.625,27.175,,,,,,
5,56.3,54.7,52.475,50.15,37.625,27.175,,,,,,
6,48.675,48.375,46.375,45.6,37.15,27.175,20.175,15.175,,,,
7,41.85,42.325,41.5,40.825,34.9,26.625,20.175,15.175,12.075,,,
8,34.775,37.025,36.375,36.85,32.425,25,20.175,15.175,12.075,,,
9,,32.45,32.4,32.525,30.05,22.975,20.175,15.175,12.075,,,
10,,28.525,28.8,28.6,28.05,21.3,19.025,15.175,12.075,,,
11,,25.3,25.5,25.175,25.775,19.8,17.775,15.175,12.075,,,
12,,22.425,22.675,22.35,22.95,18.45,16.65,15.075,12.075,,,
13,,,20.325,20.425,20.625,17.25,15.375,14.225,12.075,,,
14,,,18.325,19.025,18.65,16.175,14.45,13.425,12.075,,,
15,,,17,17.35,16.975,15.025,13.6,12.675,11.9,,,
16,,,15.825,15.875,15.525,14.225,12.825,11.975,11.375,,,
18,,,,13.325,13,12.975,11.475,10.75,10.275,,,
20,,,,11.35,11.05,11.35,10.325,9.705,9.33,,,
22,,,,,9.785,9.83,9.165,8.8,8.49,,,
24,,,,,8.895,8.585,8.475,8.02,7.44,,,
26,,,,,,7.545,7.59,7.04,6.82,,,
28,,,,,,6.69,6.855,6.31,6.275,,,
30,,,,,,,6.1,5.875,5.78,,,
32,,,,,,,5.46,5.425,5.15,,,
34,,,,,,,,4.865,4.6,,,
36,,,,,,,,4.375,4.115,,,
38,,,,,,,,,3.68,,,
40,,,,,,,,,3.3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
