,m 24,m 30,m 36,m 42,m 48,m 54,m 60,m 66,m 72,m 78,m 84,
6,600,,,,,,,,,,,
7,552,549,545,,,,,,,,,
8,508,505,501,498,495,,,,,,,
9,461,457,454,451,449,447,415,,,,,
10,414,411,408,405,403,401,393,343,301,,,
12,337,334,332,329,327,325,324,315,278,256,212,
14,284,281,278,276,274,272,270,269,262,215,210,
16,245,242,239,237,234,232,231,229,228,200,177,
18,214,210,207,204,201,199,198,196,195,185,164,
20,187,186,181,178,176,174,172,170,169,166,152,
22,161,159,157,155,154,153,152,150,148,147,142,
24,,139,137,135,133,133,132,131,130,130,127,
26,,123,121,119,117,116,115,114,114,113,111,
28,,110,108,106,104,103,102,101,100,99.5,98,
30,,,97,95,93.5,92.5,91.5,90.5,89.5,88.5,87,
34,,,,78.5,76.5,75.5,74.5,73.5,72.5,71.5,70,
38,,,,66.5,64.5,63,62,60.5,59.5,59,57,
42,,,,,55.5,53.5,52.5,51,50,49.2,47.4,
46,,,,,,46.6,45,43.7,42.5,41.2,39.2,
50,,,,,,,39.1,37.5,36,34.7,32.6,
54,,,,,,,34.2,32.4,30.7,29.3,27.2,
58,,,,,,,,28.2,26.3,24.8,22.7,
62,,,,,,,,,22.7,21.1,18.9,
66,,,,,,,,,,18,15.7,
70,,,,,,,,,,15.5,13,
74,,,,,,,,,,,10.8,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
