,m 11.1,m 14.8,m 18.5,m 22.1,m 25.8,m 29.5,m 33.2,m 36.9,m 40.5,m 44.2,m 47.9,m 51.2
2.5,100,,,,,,,,,,,
3,81.6,65,65,,,,,,,,,
3.5,74.6,65,63.2,50,,,,,,,,
4,68.3,63.5,59.2,50,41.3,,,,,,,
4.5,62.6,58.7,55.6,50,40.9,,,,,,,
5,57.8,54.2,52.3,50,39.2,31.6,,,,,,
6,50,46.8,46.8,45.9,35,31.1,23.8,,,,,
7,42.5,40.7,40.8,40.8,33.1,28.8,23.8,19.7,15.8,,,
8,36.6,35.4,35.5,35.8,31.2,28.5,23.6,19.7,15.8,12.9,,
9,24.9,31.2,31.4,31.6,29.5,28.5,22,19.7,15.8,12.9,10.2,
10,,26.5,26.7,27.1,28,27.2,20.6,18.5,15.8,12.9,10.2,8.9
11,,22.6,23.5,24.7,24.8,24.1,19.3,17.4,15.6,12.9,10.2,8.9
12,,20.1,21.8,21.9,21.6,21.2,18.1,16.4,14.8,12.9,10.2,8.9
14,,,17.2,17.2,17,16.6,16.2,14.6,13.3,12.2,10.2,8.9
16,,,14,14,13.8,13.4,13.8,13,12,11.1,10.2,8.9
18,,,,11.7,11.5,11.1,11.5,11.2,10.8,10.1,9.3,8.7
20,,,,9.6,9.7,9.3,9.7,9.9,9,9.2,8.6,8
22,,,,,8.3,8.4,8.3,8.5,8.3,8.4,7.9,7.4
24,,,,,,7.8,7.1,7.5,7.4,7.3,7,6.9
26,,,,,,6.9,6.3,6.7,6.5,6.3,6,6
28,,,,,,,5.9,5.9,5.7,5.5,5.2,5.2
30,,,,,,,5.3,5.2,5,4.8,4.5,4.5
32,,,,,,,,4.7,4.4,4.2,3.9,3.9
34,,,,,,,,4.2,3.9,3.7,3.4,3.4
36,,,,,,,,,3.5,3.3,3,3
38,,,,,,,,,3.1,2.9,2.6,2.6
40,,,,,,,,,,2.6,2.2,2.2
42,,,,,,,,,,2.3,1.9,1.9
44,,,,,,,,,,,1.7,1.6
46,,,,,,,,,,,,1.4
48,,,,,,,,,,,,1.2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
