,m 11,m 15,m 19,m 27,m 35,m 39,m 43,,,,,
3,60,40.8,32,,,,,,,,,
3.5,54.9,40.8,32,,,,,,,,,
4,53.8,40.8,32,,,,,,,,,
4.5,47.7,40.8,32,22,,,,,,,,
5,42.8,40.8,32,21.3,,,,,,,,
5.5,38.7,37.5,32,20.3,,,,,,,,
6,35.3,34.6,31.9,19.4,,,,,,,,
6.5,32.4,32,30.3,18.6,14,,,,,,,
7,29.9,29.6,28.8,17.8,13.5,,,,,,,
7.5,27.7,27.4,25.8,17.7,13,,,,,,,
8,25.7,24.9,23.2,17.6,12.6,10,,,,,,
8.5,22.6,22,21,17.5,12.2,10,,,,,,
9,,19.5,19.1,17.4,11.9,10,9,,,,,
10,,15.8,15.3,15.7,11.8,9.6,8.7,,,,,
11,,13,12.6,13.6,11.6,9.1,8.3,,,,,
12,,10.9,10.5,11.6,11.4,8.6,7.9,,,,,
14,,,7.6,8.6,9.1,7.9,7.4,,,,,
16,,,5.5,6.5,7,7.4,7.3,,,,,
18,,,,5,5.5,6.1,5.7,,,,,
20,,,,3.9,4.4,4.9,4.6,,,,,
22,,,,3.1,3.5,4.1,3.7,,,,,
24,,,,2.4,2.8,3.3,3,,,,,
26,,,,,2.2,2.8,2.4,,,,,
28,,,,,1.7,2.3,1.9,,,,,
30,,,,,1.3,1.9,1.5,,,,,
32,,,,,1,1.5,1.2,,,,,
34,,,,,,1.2,0.9,,,,,
36,,,,,,1,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
