,m 10.5,m 14.2,m 18,m 21.7,m 25.5,m 29.2,m 33,,,,,
3,30,20,16,,,,,,,,,
3.5,25.4,20,16,12,,,,,,,,
4,22.9,20,16,12,11.5,,,,,,,
4.5,21,20,16,12,11.5,,,,,,,
5,19.4,18.4,16,12,11.5,9,,,,,,
5.5,17.7,16.8,14.75,12,11.5,9,7,,,,,
6,16.2,15.3,13.7,12,11.5,9,7,,,,,
7,13.7,12.65,11.95,11,10,9,7,,,,,
8,11.4,11,10.55,10.2,8.9,8.2,7,,,,,
9,,9,9,9.2,8.05,7.45,6.25,,,,,
10,,7.3,7.3,7.7,7.3,6.75,5.7,,,,,
12,,5.05,5.05,5.45,5.7,5.65,4.8,,,,,
14,,,3.6,4,4.25,4.4,4.1,,,,,
16,,,2.55,2.95,3.2,3.4,3.45,,,,,
18,,,,2.2,2.45,2.65,2.8,,,,,
20,,,,1.55,1.85,2.05,2.2,,,,,
22,,,,,1.35,1.55,1.75,,,,,
24,,,,,,1.2,1.35,,,,,
26,,,,,,0.85,1,,,,,
28,,,,,,,0.7,,,,,
30,,,,,,,0.5,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
