,m 10.2,m 13.6,m 17,m 20.5,m 23.9,m 27.3,m 30.7,m 34.2,m 37.6,m 40
2.5,60,,,,,,,,,
3,55.1,42.2,42.2,39.1,31.1,25,,,,
3.5,50.3,42.3,41.4,38.5,31.3,24.8,,,,
4,44.9,41.6,39.1,37.3,31.4,24.6,19.8,,,
4.5,40.2,38.8,36,33.8,31.2,24.1,19.7,,,
5,36.7,35.3,33.4,31.5,30.3,23.4,19.5,15.4,,
6,30.5,29.7,29.8,28.6,27.3,21.4,18.5,15.1,12.1,10.4
7,25.7,25,25.1,25.5,24.4,19.4,17.2,14.5,11.8,10.2
8,,21.5,21.4,21.7,20.9,17.8,16,13.8,11.4,10
9,,18.4,18.7,18.7,18,16.3,14.8,13.1,10.9,9.7
10,,15.8,16.2,16.1,15.7,14.7,13.7,12.3,10.4,9.4
11,,13.5,13.9,13.9,13.6,13.4,12.6,11.6,9.9,8.9
12,,,12.2,21.1,11.9,12.2,11.4,10.9,9.4,8.4
14,,,9.6,9.6,9.9,9.6,9.5,9.2,8.5,7.7
16,,,,7.9,8.1,7.8,7.9,7.6,7.7,7
18,,,,,6.7,6.6,6.6,6.6,6.4,6.4
20,,,,,5.7,5.8,5.7,5.6,5.4,5.4
22,,,,,,5,4.9,4.8,4.6,4.6
24,,,,,,4.4,4.2,4.1,3.9,3.9
26,,,,,,,3.7,3.6,3.4,3.4
28,,,,,,,3.3,3.1,2.9,2.9
30,,,,,,,,2.7,2.5,2.5
32,,,,,,,,,2.2,2.2
34,,,,,,,,,1.9,1.9
36,,,,,,,,,,1.6
