,m 9.2,m 14.4,m 19.6,m 24.8,m 29,m 30,,,,,
3,35,19.3,,,,,,,,,
3.5,30.2,19.8,17.3,,,,,,,,
4,26.2,20.3,17.6,13,,,,,,,
4.5,23.2,20.9,17.9,13,9,8.3,,,,,
5,20.7,20.6,17.3,13,9,8.3,,,,,
6,16.9,17.1,16,13,9,8.3,,,,,
7,,14.2,13.5,12,9,8.3,,,,,
8,,11.4,11.3,10.7,8.6,7.9,,,,,
9,,9.4,9.5,9.2,8.2,7.6,,,,,
10,,7.9,8,8,7.6,7.2,,,,,
12,,5.9,6,6,6,6,,,,,
14,,,4.3,4.7,4.7,4.7,,,,,
16,,,3.7,3.8,3.8,3.8,,,,,
18,,,,3.1,3.1,3.1,,,,,
20,,,,2.5,2.5,2.5,,,,,
22,,,,2.1,2.1,2.1,,,,,
24,,,,,1.7,1.7,,,,,
26,,,,,1.4,1.4,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
