,m 10.5,m 15.4,m 20.3,m 25.2,m 30.1,m 32.6,m 35,,,,
2.5,40,,,,,,,,,,
3,35.4,19.7,,,,,,,,,
3.5,32.9,20.2,17.5,,,,,,,,
4,29.8,20.6,18,15.1,,,,,,,
4.5,26.7,21.2,18.3,14.8,10.7,,,,,,
5,24.3,21.3,18.8,14.3,10.6,9,,,,,
6,20,18.8,18.7,13.3,10.2,8.8,7.4,,,,
7,15.6,15.7,15.3,12.4,9.6,8.5,7.2,,,,
8,,13,12.8,115,8.9,8.1,6.9,,,,
9,,10.7,10.8,10.4,8.4,7.7,6.6,,,,
10,,9,9.1,9.1,7.9,7.3,6.3,,,,
11,,7.7,7.8,7.9,7.4,6.9,6.1,,,,
12,,6.7,6.8,6.9,6.9,6.5,5.8,,,,
13,,,6,6.1,6.1,6.1,5.6,,,,
14,,,5.3,5.4,5.4,5.5,5.4,,,,
15,,,4.7,4.8,4.9,4.9,4.9,,,,
16,,,4.3,4.3,4.4,4.4,4.4,,,,
17,,,3.8,3.9,3.9,4,4,,,,
18,,,,3.5,3.6,3.6,3.6,,,,
19,,,,3.2,3.3,3.3,3.3,,,,
20,,,,2.9,3,3,3,,,,
21,,,,2.7,2.7,2.7,2.8,,,,
22,,,,2.5,2.5,2.5,2.5,,,,
23,,,,,2.3,2.3,2.3,,,,
24,,,,,2.1,2.1,2.1,,,,
25,,,,,1.9,1.9,1.9,,,,
26,,,,,1.7,1.7,1.8,,,,
27,,,,,1.5,1.6,1.6,,,,
28,,,,,,1.4,1.5,,,,
29,,,,,,1.3,1.3,,,,
30,,,,,,,1.2,,,,
31,,,,,,,1.1,,,,
,,,,,,,,,,,
