,m 11.4,m 16.7,m 22,m 27.3,m 32.6,m 35.8,m 38,,,,
3,50,24.7,24.6,17,,,,,,,
4,41.3,26.5,25.1,16.6,11.5,,,,,,
5,34.1,27.8,24.2,16,11.3,9.5,,,,,
6,29,26,22.7,15.3,11,9.4,7.5,,,,
7,24.5,21.8,21,14.4,10.7,9.2,7.2,,,,
8,16.8,18.5,18.6,13.4,10.2,8.9,7,,,,
9,,15.5,15.6,12.5,9.7,8.5,6.7,,,,
10,,13.1,13.4,11.6,9.2,8.1,6.5,,,,
11,,11.4,11.5,10.8,8.6,7.7,6.2,,,,
12,,10,10.1,10.1,8,7.3,6,,,,
14,,,7.8,7.8,7.1,6.7,5.6,,,,
16,,,6.3,6.4,6.4,6.1,5.2,,,,
18,,,5.2,5.3,5.4,5.4,4.8,,,,
20,,,,4.3,4.4,4.3,4.3,,,,
22,,,,3.6,3.7,3.7,3.7,,,,
24,,,,3,3.1,3.1,3.2,,,,
26,,,,,2.7,2.7,2.7,,,,
28,,,,,2.2,2.3,2.3,,,,
30,,,,,,1.9,1.9,,,,
32,,,,,,1.6,1.6,,,,
34,,,,,,,1.4,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
