,m 10.2,m 13.6,m 17,m 20.5,m 23.9,m 27.3,m 30.7,m 34.2,m 37.6,m 40,
2.5,55,,,,,,,,,,
2.7,53.4,,,,,,,,,,
3,50.7,42.3,42.2,38.2,30.6,22.8,,,,,
3.5,47,42.2,42.1,37.8,30.9,23.2,,,,,
4,43.6,40.9,39.1,37,31,23.6,18.8,,,,
4.5,40.3,37.5,36.1,34,30.7,23.8,19.1,14.7,,,
5,36.9,34.5,33.5,31.6,30.2,23.6,19.1,14.9,,,
6,31.7,29.1,29.2,28.7,27.3,22,18.4,15,11.8,10.1,
7,26,24.5,24.6,24.9,23.4,20.2,17.1,14.4,11.7,10.1,
8,,21,21.2,21,19.7,18.4,16,13.8,11.3,9.9,
9,,17.5,17.9,17.8,17,16.1,14.9,13,10.8,9.7,
10,,14.8,15.2,15.1,14.8,14.4,13.6,12.3,10.3,9.3,
12,,,11.4,11.4,11.6,11.5,10.9,10.6,9.4,8.4,
14,,,9.1,9.1,9.3,9.1,9,8.7,8.5,7.7,
16,,,,7.7,7.6,7.4,7.5,7.5,7.3,7,
18,,,,,6.4,6.5,6.3,6.3,6,6.1,
20,,,,,5.4,5.5,5.4,5.3,5.1,5.1,
22,,,,,,4.7,4.6,4.5,4.3,4.2,
24,,,,,,4.1,3.9,3.9,3.6,3.6,
26,,,,,,,3.4,3.3,3.1,3.1,
28,,,,,,,3,2.9,2.7,2.7,
30,,,,,,,,2.5,2.3,2.3,
32,,,,,,,,,2,2,
34,,,,,,,,,1.7,1.7,
36,,,,,,,,,,1.4,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
